date,open,high,low,close
1652140800000,30074,31463,29730,30642
1652155200000,30642,32658,30600,31609
1652169600000,31609.79,32016.66,31240,31622.24
1652184000000,31622.24,32383.8,30819.98,31320
1652198400000,31320,31805.15,30962.9,31330.03
1652212800000,31330,31353.43,30147.78,31017.1
1652227200000,31017.11,31691.89,30626.22,31205.96
1652241600000,31205.95,31888.85,30200,30614.99
1652256000000,30614.99,32162.59,30376.61,31533.15
1652270400000,31533.14,32000,29039.54,30977.61
1652284800000,30977.61,31131.58,29190,29372.22
1652299200000,29372.21,29652.63,27785,29103.94
1652313600000,29103.94,30243,28367.07,28406.15
1652328000000,28406.15,28643.93,26700,28193.4
1652342400000,28193.4,29294,27477.7,28472.98
1652356800000,28472.98,29813,27902.95,29021.27
1652371200000,29021.26,29967.03,28186.74,28641.15
1652385600000,28640,29300,28001,29029.75
1652400000000,29029.74,30800,28751.67,30582.54
1652414400000,30582.54,31083.37,30154.24,30171.13
1652428800000,30171.13,30767.38,30171.13,30668.08
1652443200000,30668.07,31033,30227.62,30339.99
1652457600000,30340,30537.78,29382.66,30084.11
1652472000000,30084.1,30139.16,29200,29287.05
1652486400000,29287.05,29824.69,29219.37,29569.89
1652500800000,29569.89,29611.7,29200,29431.59
1652515200000,29431.58,29599.51,28830,29074.24
1652529600000,29074.24,29260.29,28660.76,28818.06
1652544000000,28818.05,29942.82,28630,29338.78
1652558400000,29338.79,30343.27,29300,30086.74
1652572800000,30086.74,30273.21,29553.47,29721.65
1652587200000,29721.66,30061.54,29480,29825.99
1652601600000,29826,30327.68,29547.48,30241.46
1652616000000,30241.46,30561.37,29782.01,30013.47
1652630400000,30013.46,30500,29936.49,30457.88
1652644800000,30457.88,31460,30355.22,31328.89
1652659200000,31328.89,31328.9,30211.32,30323.23
1652673600000,30323.23,30473.31,29258,29593.89
1652688000000,29593.89,30205,29433.9,29950.95
1652702400000,29950.95,30252.77,29313.48,29676.56
1652716800000,29676.56,29985.3,29087.04,29576.7
1652731200000,29576.7,30259.78,29543.46,29874.01
1652745600000,29874.01,30508,29780.97,30363.59
1652760000000,30363.59,30578.14,30244.52,30412.06
1652774400000,30412.05,30788.37,30271.21,30319.47
1652788800000,30319.48,30748,29944.48,30153.74
1652803200000,30153.74,30320,29450.38,30097.09
1652817600000,30097.1,30669,30045.85,30444.93
1652832000000,30444.93,30709.99,29732.49,29831.4
1652846400000,29831.4,30090.51,29682.97,29910.25
1652860800000,29910.25,30046.79,29742.99,29833.58
1652875200000,29833.59,29909.66,28875,28984.99
1652889600000,28984.98,29538.19,28750,29276.55
1652904000000,29276.55,29411.07,28654.47,28715.32
1652918400000,28715.33,29337.52,28691.38,29196.78
1652932800000,29196.77,29432.8,29029.88,29192.13
1652947200000,29192.13,29540,28855.42,29500.2
1652961600000,29499.81,30545.18,29353.82,30389.45
1652976000000,30389.45,30456.56,29961.7,29967.4
1652990400000,29967.4,30486.57,29950.45,30319.23
1653004800000,30319.22,30777.33,30130.48,30175.03
1653019200000,30175.04,30362.16,29850.51,30256.74
1653033600000,30256.74,30535.4,30110.04,30414.07
1653048000000,30414.06,30449.98,29071.39,29152.9
1653062400000,29152.9,29359.23,28730,29291.55
1653076800000,29291.55,29391.4,29123.77,29201.01
1653091200000,29201.01,29347.52,28947.28,29258.18
1653105600000,29258.17,29566,29205.23,29423.18
1653120000000,29423.18,29481.1,29168.68,29288
1653134400000,29288,29645.7,29190,29552.47
1653148800000,29552.47,29656.18,29390.62,29464.31
1653163200000,29464.32,29538.66,29311.07,29445.06
1653177600000,29445.07,29545.75,29331.26,29363.5
1653192000000,29363.5,29457.89,29255.11,29441.78
1653206400000,29441.78,30311.31,29421.53,29897.52
1653220800000,29897.52,30236.63,29668.51,29844.01
1653235200000,29844.01,30177.93,29738.57,29936.01
1653249600000,29936.02,30487.99,29910.14,30293.94
1653264000000,30293.93,30459.56,30048.77,30171.32
1653278400000,30171.32,30670.51,30101.07,30457.01
1653292800000,30457.01,30616.18,30281.89,30397.11
1653307200000,30397.12,30625.98,29967.07,30373.53
1653321600000,30373.53,30529.9,29078.3,29089.9
1653336000000,29089.91,29499.03,28866.35,29109.15
1653523200000,29542.14,29886.64,29503.72,29837.16
1653537600000,29837.16,29876.72,29337.77,29733.7
1653552000000,29733.71,29744.25,28877,28998.4
1653566400000,28998.4,29495,28019.56,29393.1
1653580800000,29393.1,29787.69,29370,29379.76
1653595200000,29379.76,29682.84,29174,29201.35
